probIn scale
0.05433214 0.1097353
0.05397028 0.1006138
0.05521378 0.1016928
0.05634266 0.1020679
0.05117354 0.1066094
0.05512862 0.1032842
0.05706783 0.1011327
0.0499099 0.09639694
0.05832261 0.1010442
0.06296746 0.09981995
0.06822546 0.09806578
0.05434604 0.09837481
0.06450033 0.1001671
0.06732412 0.09931422
0.07250219 0.09649947
0.05723411 0.09550355
0.07383632 0.0943055
0.07339255 0.09506269
0.07596955 0.09701141
0.07533949 0.09521422
0.06957905 0.09301725
0.06389191 0.09926912
0.06464495 0.1050843
0.05873068 0.1031024
0.0671223 0.09948836
0.06744029 0.09934709
0.05496652 0.1006877
0.05428773 0.1054804
0.06244304 0.1089154
0.06925615 0.1066423
0.07515104 0.1127714
0.07529562 0.1135908
0.0666983 0.1140028
0.07587659 0.1122515
0.06704613 0.1145179
0.06845543 0.1135191
0.06869217 0.1144364
0.07399069 0.1112005
0.07799412 0.1075321
0.08445089 0.1071935
0.08282271 0.1062484
0.07176965 0.1064322
0.07459254 0.1081729
0.07730333 0.1125315
0.07670206 0.1234118
0.07459867 0.1187417
0.07224917 0.1193543
0.05842947 0.1239963
0.07104868 0.1222676
0.06918932 0.1176988
0.0699449 0.1181463
0.06785112 0.1143106
0.06553122 0.1209216
0.07212038 0.1176511
0.07864235 0.1224562
0.0649302 0.1185902
0.06417535 0.1195796
0.0622046 0.1212889
0.06358218 0.1206439
0.0612445 0.1207696
0.05736163 0.1225758
0.05750452 0.1201062
0.05497931 0.1186128
0.06936889 0.1193592
0.0619086 0.1166969
0.06518926 0.1204032
0.06664203 0.1248416
0.07762265 0.1213658
0.07812112 0.1216972
0.07613005 0.1176891
0.08112773 0.1225374
0.07549729 0.1255995
0.07308175 0.1235176
0.06347411 0.1271214
0.07276149 0.1242253
0.07241344 0.115911
0.07258014 0.1177348
0.08431801 0.1202748
0.0730196 0.1194044
0.05943154 0.1220853
0.06547195 0.1305888
0.07315303 0.1226526
0.07546613 0.122418
0.07145062 0.1179572
0.08443797 0.1070553
0.08522862 0.1055945
0.09268945 0.1061391
0.09195204 0.1099347
0.07658143 0.1155469
0.06570401 0.1160238
0.06660426 0.115509
0.07131293 0.1205837
0.07033616 0.1165075
0.06372258 0.1177341
0.06229735 0.1169233
0.05108033 0.1148331
0.05817928 0.1196992
0.06211794 0.1192673
0.06423933 0.119409
0.06923731 0.1208141
0.07345052 0.1213075
0.07890188 0.1235308
0.07855434 0.1223621
0.06577673 0.1230233
0.05499222 0.1274864
0.05283953 0.127841
0.05015609 0.1304017
0.05595111 0.1315901
0.06144079 0.1256201
0.06126994 0.1220673
0.06360293 0.1278104
0.06656265 0.1256481
0.06756598 0.1270631
0.06324926 0.1294761
0.0693225 0.1379327
0.0749268 0.1417327
0.06181158 0.1481051
0.06026143 0.1454594
0.05490497 0.1474655
0.05665218 0.1467292
0.05566942 0.1483629
0.05352639 0.1442908
0.0662248 0.1430328
0.0762804 0.1414927
0.05928123 0.1407911
0.06518519 0.1358344
0.06410917 0.1294425
0.06892154 0.1287222
0.06890347 0.1281957
0.07135073 0.1244081
0.06814579 0.1234869
0.0583183 0.1243599
0.05635399 0.1243144
0.0564762 0.1233342
0.06205234 0.1302586
0.05665872 0.1267571
0.04861982 0.1314565
0.06025518 0.1295888
0.07003137 0.1341452
0.06820957 0.1355176
0.06028804 0.1373665
0.07123253 0.1365241
0.05629228 0.1319338
0.05257278 0.1296622
0.05922966 0.1252286
0.05230654 0.1271679
0.0581185 0.1267012
0.06049201 0.129326
0.0588211 0.1297359
0.05234406 0.1307742
0.05032567 0.1260638
0.04715393 0.123619
0.05183674 0.1307706
0.06388962 0.1277104
0.05263381 0.1314271
0.05121305 0.1379075
0.04681324 0.1343916
0.04970204 0.1443326
0.05024257 0.1422586
0.05403927 0.1379575
0.04857524 0.138581
0.05940979 0.1315999
0.04740831 0.118252
0.05326933 0.1194807
0.0539574 0.1274338
0.05034262 0.12432
0.05920041 0.1233085
0.06492891 0.1213217
0.05770204 0.1203832
0.06027143 0.1210129
0.04786149 0.1255326
0.05065696 0.1264153
0.05940699 0.1238434
0.05512063 0.1225442
0.05960841 0.1250023
0.06831089 0.1281699
0.06895266 0.1295284
0.04653569 0.1304378
0.06534178 0.1320427
0.05642965 0.1331776
0.05240006 0.1293225
0.04635473 0.1295319
0.0378913 0.1292835
0.04902707 0.1300143
0.05025434 0.1297653
0.05291087 0.1312809
0.05030293 0.1310602
0.04562502 0.1353425
0.05699403 0.1349397
0.05204798 0.1375942
0.04459334 0.130976
0.04338604 0.133445
0.03948224 0.1345972
0.04293299 0.1339789
0.04087251 0.1314392
0.03790279 0.1255175
0.03695923 0.1262656
0.02731331 0.1311232
0.03857342 0.1327049
0.04640014 0.1437602
0.03369443 0.1481769
0.04190812 0.1555919
0.04566522 0.1632224
0.03163831 0.1616891
0.03714437 0.1630585
0.04063071 0.1644877
0.0388937 0.1585151
0.03890441 0.1541924
0.03393506 0.1572058
0.0350613 0.1574136
0.035222 0.1530095
0.02921017 0.1508255
0.03397296 0.1515895
0.0282544 0.1519421
0.04148779 0.1487926
0.04292765 0.1464309
0.03258677 0.1457965
0.03945377 0.140456
0.04619619 0.1391664
0.0402147 0.1404252
0.04361979 0.1327111
0.034941 0.1319668
0.04539033 0.1398821
0.04460445 0.1410254
0.04155024 0.1344756
0.03874054 0.1418045
0.04032997 0.1512839
0.03892045 0.1409013
0.04272523 0.1383178
0.04055292 0.1363997
0.05280777 0.1312875
0.04349446 0.1312567
0.04444301 0.1291376
0.04180472 0.1283771
0.05158069 0.1267722
0.05638544 0.1263323
0.04697546 0.1222274
0.04775603 0.1191121
0.05686338 0.1225567
0.05357821 0.1262495
0.05937813 0.119231
0.0513091 0.1219893
0.06463369 0.1141015
0.06254802 0.1205448
0.06220839 0.1177501
0.05479999 0.1209121
0.05910861 0.1156583
0.06096095 0.116122
0.06335093 0.1136872
0.07438693 0.1178609
0.07433335 0.1166388
0.05796864 0.1173846
0.05390584 0.1136216
0.07281234 0.1123973
0.06203387 0.1123907
0.06293862 0.1123198
0.0654881 0.1125139
0.07089307 0.1110077
0.0602821 0.1152863
0.07665578 0.1135657
0.06251485 0.1104606
0.06314268 0.1084845
0.06299172 0.1137102
0.06792149 0.1116832
0.07488635 0.1151868
0.07153746 0.1137417
0.07231217 0.1112291
0.07622452 0.1143475
0.06454619 0.1107904
0.06840473 0.1153954
0.06833167 0.111779
0.0701573 0.1045809
0.06785703 0.1041014
0.06689645 0.1018012
0.07037641 0.1034186
0.06908043 0.09661038
0.06933246 0.0921398
0.06680528 0.09449209
0.064468 0.09216405
0.06231403 0.09353477
0.06611245 0.09371018
0.07185231 0.09436627
0.06723006 0.09279405
0.07338121 0.09252169
0.06832387 0.09196053
0.07043227 0.09197699
0.0723918 0.09083178
0.06971786 0.09011013
0.06456707 0.09173301
0.07621161 0.09040691
0.07249131 0.0902315
0.0808586 0.09032084
0.07822592 0.09358564
0.07842833 0.09481726
0.08218482 0.09359235
0.07241552 0.09440189
0.07857162 0.09166355
0.07626344 0.092381
0.07311381 0.09667816
0.09207858 0.09978209
0.09526197 0.1008684
0.08775833 0.0999776
0.07360188 0.09992971
0.0676767 0.0961826
0.07486393 0.09832286
0.07346817 0.09894281
0.07034358 0.1017119
0.07889211 0.1004365
0.07215225 0.1083969
0.07174038 0.1075441
0.09008628 0.108029
0.0785046 0.1091853
0.08480576 0.1028362
0.0888844 0.1045558
0.0894358 0.1017888
0.08958897 0.09983286
0.0782435 0.1000529
0.08136042 0.1015899
0.09336605 0.09811873
0.08146512 0.09860095
0.07389041 0.101753
0.08190997 0.1043469
0.07437852 0.1021112
0.08352044 0.1005843
0.08114651 0.1015527
0.08645132 0.1035413
0.08280351 0.1056522
0.08031008 0.108949
0.0724267 0.1078736
0.07393821 0.1116724
0.07182363 0.1027
0.07927435 0.1056863
0.07091154 0.101714
0.06624056 0.1066161
0.06280335 0.1073853
0.06815168 0.1077995
0.05780872 0.1094319
0.05817608 0.1116672
0.0641166 0.1143446
0.05331254 0.1122807
0.0686827 0.1134866
0.06531337 0.1173942
0.06036126 0.1160363
0.06289851 0.11192
0.08026882 0.115943
0.07918035 0.1144071
0.06885672 0.1160852
0.0771497 0.1104201
0.07614382 0.1107244
0.07876919 0.1125299
0.0833736 0.1151751
0.08592909 0.1130736
0.08596908 0.1095449
0.08778209 0.1081386
0.08457598 0.1132104
0.08761855 0.1149427
0.07913027 0.1170453
0.08806971 0.1193163
0.08167819 0.1206754
0.09280168 0.1200979
0.08374504 0.1234149
0.08078686 0.1171595
0.07828436 0.1216866
0.07556824 0.1243026
0.08231115 0.1312925
0.0693779 0.1251054
0.08263863 0.1296068
0.07764505 0.1377085
0.0866849 0.1383511
0.08232758 0.1415224
0.08769713 0.1375624
