RIL,Yield,Protein,Oil,Seedsize,Height,Maturity
DS11-02002,4672.6282,39.71365637,21.21572356,17.21878296,108.4779955,997.3854302
DS11-02003,4457.044866,38.6469897,21.96572356,16.53544963,104.0779955,1000.294109
DS11-02004,4855.211533,40.16365637,21.08239023,17.33544963,115.1779955,997.7854302
DS11-02005,4979.8782,39.2969897,21.49905689,18.83544963,110.3779955,998.4854302
DS11-02006,4706.294866,37.7469897,21.73239023,17.3521163,105.3779955,995.0854302
DS11-02007,4902.6282,38.71365637,21.71572356,17.7521163,107.6779955,995.3854302
DS11-02008,4943.3782,40.11365637,21.09905689,17.83544963,113.4779955,998.5854302
DS11-02014,4383.794866,39.5969897,20.96572356,16.78544963,96.87799551,1002.627443
DS11-02016,4762.794866,40.43032304,20.81572356,17.5021163,110.4779955,998.1854302
DS11-02017,4552.961533,40.26365637,20.78239023,17.26878296,105.9779955,992.6854302
DS11-02019,4823.544866,40.08032304,21.59905689,18.4021163,112.8779955,1003.294109
DS11-02021,4766.6282,39.71365637,21.23239023,17.36878296,112.7779955,995.6854302
DS11-02022,4745.544866,39.71365637,21.56572356,18.93544963,101.1779955,995.4854302
DS11-02023,4959.3782,39.4469897,20.79905689,15.23544963,110.8779955,994.6854302
DS11-02024,4606.1282,40.7469897,21.24905689,16.63544963,105.2779955,1002.516332
DS11-02025,4466.1282,39.9469897,20.96572356,16.71878296,113.5779955,1005.071887
DS11-02026,4909.794866,38.13032304,21.71572356,16.58544963,113.4779955,997.3854302
DS11-02027,4906.961533,39.0469897,21.76572356,19.1021163,110.3779955,998.7854302
DS11-02029,4716.794866,39.51365637,21.59905689,17.9521163,104.8779955,992.0854302
DS11-02030,4660.8782,39.46365637,21.38239023,16.76878296,107.0779955,989.0854302
DS11-02031,4658.044866,39.83032304,21.06572356,18.56878296,100.5779955,992.9854302
DS11-02032,4500.461533,39.88032304,21.78239023,18.43544963,101.9779955,990.6854302
DS11-02033,4764.044866,38.38032304,22.24905689,17.0021163,102.7779955,993.5854302
DS11-02035,4633.961533,39.7469897,21.69905689,17.9021163,101.0779955,1000.071887
DS11-02036,4500.044866,38.18032304,21.43239023,16.26878296,112.0779955,997.6854302
DS11-02037,4611.711533,38.71365637,21.68239023,18.6521163,111.9779955,997.3854302
DS11-02038,4730.294866,40.5469897,20.71572356,18.61878296,111.7779955,995.1854302
DS11-02039,5065.1282,39.7469897,21.11572356,17.53544963,111.1779955,1005.627443
DS11-02040,5048.544866,40.06365637,20.99905689,17.3521163,113.5779955,1005.627443
DS11-02042,4669.211533,38.83032304,21.26572356,17.4521163,98.47799551,991.2854302
DS11-02043,4899.6282,39.5969897,21.58239023,16.9021163,106.5779955,994.6854302
DS11-02044,4946.1282,38.91365637,22.23239023,19.8021163,110.8779955,1002.294109
DS11-02045,5446.532013,39.96365637,20.96572356,17.0021163,120.8617959,1017.100567
DS11-02046,5488.309791,40.28032304,20.64905689,17.98544963,121.4867959,1017.225567
DS11-02047,5222.754235,39.2469897,21.06572356,18.2021163,107.8617959,1015.475567
DS11-02049,5523.532013,39.76365637,21.13239023,19.23544963,103.2367959,1013.600567
DS11-02051,5563.976457,38.8969897,21.33239023,19.13544963,105.9867959,1028.371032
DS11-02053,5487.532013,39.9969897,20.94905689,17.5021163,119.1117959,1029.799603
DS11-02054,4945.532013,39.46365637,20.84905689,18.7521163,119.8617959,1018.975567
DS11-02055,5566.19868,40.1969897,20.78239023,17.51878296,119.8617959,1028.085317
DS11-02056,5524.532013,39.91365637,21.08239023,17.43544963,114.9867959,1028.725622
DS11-02057,4922.532013,38.56365637,21.91572356,17.66878296,113.6117959,1015.475567
DS11-02059,5215.087568,39.88032304,21.54905689,18.6521163,112.3617959,1010.350567
DS11-02060,5529.19868,40.18032304,20.76572356,17.61878296,117.9867959,1028.799603
DS11-02061,5204.532013,38.4469897,21.93239023,16.4521163,111.9867959,1016.350567
DS11-02063,5565.087568,38.1969897,21.48239023,18.3021163,109.3617959,1029.228174
DS11-02064,5077.087568,41.6469897,20.54905689,18.46878296,111.6117959,1027.011336
DS11-02065,5459.532013,39.58032304,21.48239023,18.53544963,100.1117959,1027.371032
DS11-02066,5192.087568,39.0469897,21.14905689,16.71878296,126.9867959,1013.475567
DS11-02067,5574.976457,40.03032304,20.63239023,17.41878296,120.3617959,1029.085317
DS11-02068,5604.865346,40.5469897,20.31572356,17.76878296,123.3617959,1018.850567
DS11-02069,5534.865346,39.51365637,21.63239023,18.63544963,106.1117959,1028.656746
DS11-02070,5384.865346,39.3969897,20.48239023,16.93544963,117.9867959,1018.850567
DS11-02071,5067.754235,38.46365637,22.28239023,17.7021163,107.9867959,1014.225567
DS11-02072,5427.643124,40.21365637,20.74905689,17.2521163,119.3617959,1029.228174
DS11-02073,5577.643124,40.18032304,20.86572356,17.3521163,118.3617959,1015.975567
DS11-02074,5540.532013,40.38032304,20.73239023,17.68544963,118.6117959,1016.850567
