ss1235980600 ss1235977043 ss1235976446 ss1235976428
-0.1888409 0.2340165 0.02074335 0.297534
-0.2452448 0.271432 -0.2806957 0.6288067
-0.3414979 0.4786211 -0.9427012 1.042689
-0.3039513 0.6352262 -0.7375156 0.8274341
-0.1466923 0.3159818 -0.4879252 0.8266082
-0.3194553 0.2227859 -0.6361897 0.9806836
-0.3191737 0.3608571 -0.847613 1.130069
-0.1725321 0.4304345 -0.8629352 0.9387644
-0.2060773 0.5450131 -0.7506483 0.8451754
-0.5105601 0.3053692 -0.7265834 0.9918922
-0.5608857 0.2076864 -0.5851068 0.9606494
-0.6121803 0.105963 -0.7925542 1.070696
-0.6806327 0.2914711 -0.8499624 0.9479414
-0.5386088 0.1340173 -0.8216312 0.8467844
-0.1522005 -0.0531637 -0.7237139 0.926494
-0.03802297 0.1180693 -1.118698 1.050121
0.1331429 0.168004 -1.20266 1.108493
-0.04926765 0.4452604 -1.449766 0.9760941
-0.2902769 0.3641108 -0.9070896 1.060157
-0.3600519 0.1418751 -0.7172039 0.9053739
-0.5873318 0.3297133 -0.8337586 1.093779
-0.7048503 0.3381158 -1.017206 1.020646
-0.5860816 0.441106 -0.9368288 1.180364
-0.3962277 0.3422081 -0.8445928 1.17793
-0.6608106 0.3736494 -0.6487008 0.8477151
-0.5979836 0.1689015 -0.6812344 0.8314273
-0.4553095 0.2884459 -0.5444773 0.7425425
-0.3468409 0.05138001 -0.5337593 0.7309137
-0.3857661 0.3906448 -0.6658374 1.103379
-0.3693387 0.1047422 -1.024345 1.476971
-0.5548747 -0.04849248 -0.9404737 1.15069
-0.5194769 0.1050503 -0.974254 0.9493716
-0.7896874 0.05769866 -0.9020412 0.8182956
-0.7035942 0.07270924 -0.5124319 0.437594
-0.7451644 0.3740977 -0.3871374 0.4833983
-0.5703348 0.3197749 -0.3535239 0.3654047
-0.4663405 0.4745684 -0.3887755 0.4569421
-0.6635791 0.5731473 -0.08066437 0.3958109
-0.6401831 0.4778962 -0.2906025 0.6796997
-0.7688799 0.3223329 -0.5365731 0.7144737
-0.577408 0.2807207 -0.5776633 0.6597746
-0.8334229 0.132356 -0.5332175 0.9362947
-0.5636992 0.1727117 -1.109079 1.268368
-0.3009623 0.0008484786 -1.04759 0.9485216
-0.438183 0.2411273 -1.086392 0.9426244
-0.8436318 0.1702317 -0.5965825 0.8422316
-0.7247228 0.2659669 -0.8851544 0.8616286
-0.6490859 0.221664 -0.7221941 0.9082737
-0.4296888 0.1361552 -0.8166371 0.9383166
-0.5082798 -0.01220506 -0.5459893 0.7399563
-0.4289068 0.0194171 -0.8035139 0.9040829
-0.3653673 0.2164516 -0.9619096 0.7736113
-0.3334852 0.3115385 -0.950075 0.6002249
-0.460882 0.4993591 -1.047532 0.7876229
-0.1723337 0.4383897 -0.9717323 0.9975008
-0.335957 0.2346846 -0.9266591 1.22568
-0.371784 0.382266 -0.9710068 1.254126
-0.4001936 0.4068543 -1.158431 1.182129
-0.5431961 0.4854786 -1.11451 1.332895
-0.5122209 0.2147818 -0.9518191 1.14489
-0.4646373 0.2570271 -1.027945 0.9553324
-0.4479522 0.1092083 -1.237395 1.186876
-0.5364336 0.002575088 -0.9291043 1.0008
-0.3346507 0.3092959 -1.13223 1.324617
-0.5058053 0.6392276 -1.097377 1.268531
-0.4995209 0.6881452 -1.244503 1.280179
-0.603482 0.5958119 -1.277341 1.36028
-0.5114847 0.3776036 -0.9561947 1.004798
-0.4606069 0.3982307 -0.8004801 0.9702526
-0.6103623 0.4712114 -0.7167214 0.6853327
-0.2904934 0.2874862 -0.466452 0.9426846
-0.3469283 0.2074709 -0.5240865 0.8157884
-0.3221883 0.4267959 -0.9288953 1.058216
